"Year","Value"
199102,0.5292
199103,0.3327
199104,0.5694
199105,0.3304
199106,0.4238
199107,0.4243
199108,0.3512
199109,0.3477
199110,0.2781
199111,0.2999
199112,0.2346
199201,0.5718
199202,0.4545
199203,0.405
199204,0.1199
199205,0.1941
199206,0.1384
199207,-0.0086
199208,0.0177
199209,-0.149
199210,-0.034
199211,-0.0225
199212,0.27
199301,0.4077
199302,0.4636
199303,0.4416
199304,0.2184
199305,0.2843
199306,0.2391
199307,0.1163
199308,0.0964
199309,0.0191
199310,0.1362
199311,-0.1406
199312,0.3478
199401,0.2617
199402,-0.0962
199403,0.4308
199404,0.4142
199405,0.3536
199406,0.4141
199407,0.3202
199408,0.3468
199409,0.3202
199410,0.5045
199411,0.5163
199412,0.3485
199501,0.6846
199502,0.9648
199503,0.5424
199504,0.478
199505,0.3333
199506,0.5152
199507,0.423
199508,0.5707
199509,0.3831
199510,0.5275
199511,0.5066
199512,0.4148
199601,0.2199
199602,0.5193
199603,0.2222
199604,0.17
199605,0.3819
199606,0.3164
199607,0.3358
199608,0.2732
199609,0.1849
199610,0.0803
199611,0.1754
199612,0.3676
199701,0.4182
199702,0.5145
199703,0.5728
199704,0.5235
199705,0.4334
199706,0.539
199707,0.5192
199708,0.542
199709,0.5952
199710,0.6588
199711,0.5426
199712,0.5782
199801,0.5609
199802,1.0662
199803,0.6259
199804,0.8229
199805,0.6679
199806,0.7025
199807,0.794
199808,0.7597
199809,0.5816
199810,0.5038
199811,0.3601
199812,0.7219
199901,0.5904
199902,0.9483
199903,0.2573
199904,0.5636
199905,0.4407
199906,0.4244
199907,0.432
199908,0.3895
199909,0.4103
199910,0.4249
199911,0.4344
199912,0.7814
200001,0.3428
200002,0.6884
200003,0.7306
200004,0.8361
200005,0.6285
200006,0.4557
200007,0.4699
200008,0.5334
200009,0.4422
200010,0.2407
200011,0.1394
200012,0.2406
200101,0.4748
200102,0.3286
200103,0.7859
200104,0.6156
200105,0.7001
200106,0.5742
200107,0.6359
200108,0.6916
200109,0.5401
200110,0.5385
200111,0.8918
200112,0.5562
200201,0.9054
200202,1.0822
200203,0.9565
200204,0.5127
200205,0.5033
200206,0.6646
200207,0.6944
200208,0.5411
200209,0.5925
200210,0.3802
200211,0.6669
200212,0.3511
200301,0.8083
200302,0.5105
200303,0.5678
200304,0.5613
200305,0.6788
200306,0.5323
200307,0.59
200308,0.7927
200309,0.7432
200310,0.8928
200311,0.6102
200312,0.9414
200401,0.6801
200402,0.8838
200403,0.8579
200404,0.6559
200405,0.5008
200406,0.5085
200407,0.5571
200408,0.5649
200409,0.6024
200410,0.6635
200411,0.9725
200412,0.4817
200501,0.7324
200502,0.4839
200503,0.8151
200504,0.883
200505,0.7553
200506,0.7653
200507,0.7715
200508,0.7027
200509,0.8605
200510,0.8339
200511,0.9298
200512,0.7428
200601,0.385
200602,0.7175
200603,0.6927
200604,0.5397
200605,0.6793
200606,0.7885
200607,0.6866
200608,0.7226
200609,0.7408
200610,0.8151
200611,0.7539
200612,1.0157
200701,1.2254
200702,0.7488
200703,0.8353
200704,0.9139
200705,0.713
200706,0.6486
200707,0.619
200708,0.6902
200709,0.6422
200710,0.6841
200711,0.6979
200712,0.6541
200801,0.2033
200802,0.4144
200803,1.1314
200804,0.6094
200805,0.5774
200806,0.6571
200807,0.6298
200808,0.6352
200809,0.5757
200810,0.8024
200811,0.8416
200812,0.6011
200901,0.6889
200902,0.6439
200903,0.6163
200904,0.7145
200905,0.57
200906,0.7081
200907,0.6694
200908,0.7022
200909,0.796
200910,0.6847
200911,0.6498
200912,0.5625
201001,0.7125
201002,0.7203
201003,0.9672
201004,0.944
201005,0.8556
201006,0.8618
201007,0.8936
201008,0.8359
201009,0.632
201010,0.774
201011,1.0652
201012,0.5221
201101,0.4511
201102,0.5085
201103,0.6818
201104,0.7961
201105,0.6417
201106,0.7486
201107,0.7155
201108,0.6947
201109,0.6734
201110,0.7924
201111,0.5033
201112,0.6953
201201,0.4223
201202,0.3814
201203,0.5887
201204,0.9469
201205,0.8903
201206,0.8642
201207,0.8586
201208,0.7368
201209,0.8105
201210,0.7532
201211,0.7837
201212,0.3536
201301,0.6165
201302,0.7072
201303,0.7146
201304,0.5756
201305,0.7995
201306,0.7763
201307,0.7224
201308,0.755
201309,0.735
201310,0.7521
201311,1.0351
201312,0.7815
201401,0.8112
201402,0.4481
201403,0.962
201404,0.962
201405,0.8678
201406,0.8917
201407,0.8126
201408,0.9815
201409,0.8817
201410,0.8536
201411,0.7561
201412,1.0281
